phenotype,ba_mean_dataset_split_kofam,ba_std_dataset_split_kofam,ba_mean_dataset_split_gapmind,ba_std_dataset_split_gapmind,delta_gapmind_minus_kofam,ba_mean_random_split
Glucose,0.513,0.015,0.771,0.233,0.258,0.882
Serine,0.643,0.107,0.706,0.116,0.063,0.935
Mannose,0.79,0.131,0.863,0.062,0.072,0.944
Glycerol,0.791,0.012,0.84,0.018,0.049,0.981
Fructose,0.797,0.093,0.837,0.115,0.04,0.964
Galacturonic-Acid,0.824,0.077,0.898,0.093,0.074,0.916
Alanine,0.825,,0.841,,0.017,0.948
Arginine,0.826,0.037,0.742,0.101,-0.084,0.976
Cellobiose,0.863,0.111,0.958,0.005,0.095,0.929
Maltose,0.883,0.062,0.906,0.068,0.023,0.967
Sucrose,0.886,0.108,0.968,0.034,0.082,0.937
Galactose,0.914,0.031,0.925,0.022,0.011,0.939
Histidine,0.929,0.028,0.916,0.014,-0.013,0.987
m-Inositol,0.958,0.038,0.967,0.026,0.009,0.989
Mannitol,0.981,0.008,0.97,0.022,-0.011,0.986
